Indiv1,Indiv2,Pop,TrioMl,Wang,LynchLi,LynchRd,Ritland,Queller,DyadML
R002F060M0,R002F060M1,R0R0,0.1359,0.0783,0.0428,0.4854,0.671,0.2471,0.3588
R002F061M0,R002F061M1,R0R0,0.0125,0.0926,0.0428,-0.1626,-0.0894,-0.0139,0.0873
R002F062M0,R002F062M1,R0R0,0.0758,0.4495,0.4017,0.0178,0.0742,0.3555,0.0758
R002F063M0,R002F063M1,R0R0,0.5,0.4659,0.5214,0.7068,0.6896,0.47,0.5
R002F064M0,R002F064M1,R0R0,0.5,0.3328,0.4017,0.6959,0.9769,0.5528,0.5
R002F065M0,R002F065M1,R0R0,1,1,1,1,0.694,1,1
R002F066M0,R002F066M1,R0R0,0.7072,0.8631,0.8803,0.722,0.3839,0.7952,0.7923
R002F067M0,R002F067M1,R0R0,0.5,0.8394,0.8803,0.8569,0.6076,0.8612,0.8537
R002F068M0,R002F068M1,R0R0,0.1619,0.1861,0.2821,0.4408,0.7302,0.15,0.2367
R002F069M0,R002F069M1,R0R0,0.6033,0.743,0.7607,0.7253,0.5698,0.7301,0.667
R002F070M0,R002F070M1,R0R0,0.5699,0.6331,0.641,0.7269,0.6974,0.6581,0.6276
R002F071M0,R002F071M1,R0R0,0.2706,0.6084,0.641,0.5008,0.2223,0.6111,0.4838
R002F072M0,R002F072M1,R0R0,1,1,1,1,0.8765,1,1
R002F073M0,R002F073M1,R0R0,0.5328,0.7366,0.7607,0.6078,0.3331,0.7808,0.6185
R002F074M0,R002F074M1,R0R0,0.6107,0.7241,0.641,0.5342,0.8842,0.7645,0.6773
R002F075M0,R002F075M1,R0R0,0.5,0.4405,0.5214,0.6805,0.3687,0.5249,0.5
R002F076M0,R002F076M1,R0R0,0.4022,0.7163,0.7607,0.6621,0.2171,0.6974,0.7247
R002F077M0,R002F077M1,R0R0,0,0.1838,0.1624,-0.1626,-0.0573,0.0056,0
R002F078M0,R002F078M1,R0R0,0,-0.1846,-0.3162,-0.5085,-0.1758,-0.3376,0
R002F079M0,R002F079M1,R0R0,0.2556,0.2619,0.2821,0.2213,0.0421,0.001,0.2556
R002F080M0,R002F080M1,R0R0,0.3909,0.3418,0.4017,0.2473,0.0098,0.3858,0.3909
R002F081M0,R002F081M1,R0R0,0.4648,0.7163,0.7607,0.9183,1.2342,0.793,0.7844
R002F082M0,R002F082M1,R0R0,0.8054,0.8581,0.8803,0.7896,0.8027,0.9258,0.8644
R002F083M0,R002F083M1,R0R0,0.1724,0.1153,0.0428,0.0728,0.0034,-0.137,0.2342
R002F084M0,R002F084M1,R0R0,0.6096,0.743,0.7607,0.8787,0.4921,0.8016,0.6956
R002F085M0,R002F085M1,R0R0,0.5,0.4906,0.4017,0.294,0.1189,0.4175,0.5
R002F086M0,R002F086M1,R0R0,0,0.0183,0.0428,-0.15,-0.0999,0.0955,0
R002F087M0,R002F087M1,R0R0,0.5995,0.6099,0.641,0.732,0.8896,0.6364,0.703
R002F088M0,R002F088M1,R0R0,0.5,0.5803,0.641,0.6459,0.4326,0.6609,0.5
R002F089M0,R002F089M1,R0R0,0.309,0.6257,0.641,0.7418,0.5566,0.5659,0.5372
R002F090M0,R002F090M1,R0R0,0.5,0.2417,0.1624,0.5232,0.7676,0.2274,0.5
R002F091M0,R002F091M1,R0R0,0.3402,0.3376,0.1624,0.8309,3.2369,0.4135,0.42
R002F092M0,R002F092M1,R0R0,0.6596,0.7063,0.641,0.832,1.1925,0.7754,0.6833
R002F093M0,R002F093M1,R0R0,0.5,0.5028,0.5214,0.6753,0.6696,0.5135,0.5
R002F094M0,R002F094M1,R0R0,0.376,0.1788,0.0428,0.7981,1.327,0.2846,0.4165
R002F095M0,R002F095M1,R0R0,0.4887,0.5547,0.5214,0.53,0.5035,0.644,0.5608
R002F096M0,R002F096M1,R0R0,0.3929,0.6266,0.641,0.3557,0.3313,0.5694,0.5372
R002F097M0,R002F097M1,R0R0,0.0396,0.2058,0.1624,0.0263,0.0329,0.0357,0.0396
R002F098M0,R002F098M1,R0R0,0.5,0.3382,0.4017,0.2871,0.198,0.3312,0.5
R002F099M0,R002F099M1,R0R0,0.75,0.8828,0.8803,0.9018,0.6786,0.8821,0.8477
R002F100M0,R002F100M1,R0R0,0.0261,0.4282,0.4017,0.0123,0.0105,0.2108,0.0266
R003F001M0,R003F001M1,R0R0,0.1737,0.0975,0.0428,0.0863,0.1956,0.1743,0.2165
R003F002M0,R003F002M1,R0R0,0.272,0.6151,0.641,0.3802,0.1704,0.5532,0.3913
R003F003M0,R003F003M1,R0R0,0.5,0.4743,0.5214,0.298,0.1396,0.5133,0.5
R003F004M0,R003F004M1,R0R0,0,0.2092,0.0428,-0.0512,-0.0414,0.1287,0
R003F005M0,R003F005M1,R0R0,0,-0.1575,-0.0769,-0.0857,0.0059,-0.1964,0
R003F006M0,R003F006M1,R0R0,0.3238,0.2085,0.2821,0.2514,0.181,0.3059,0.3906
R003F007M0,R003F007M1,R0R0,0.0173,-0.33,-0.4358,-0.0648,-0.3307,-0.2965,0.0173
R003F008M0,R003F008M1,R0R0,0.3238,0.5644,0.5214,0.4236,0.44,0.4549,0.4375
R003F009M0,R003F009M1,R0R0,0.162,0.195,0.2821,0.1135,0.0481,0.2185,0.162
R003F010M0,R003F010M1,R0R0,0.3015,0.2108,0.2821,0.1445,0.071,0.2775,0.3015
R003F011M0,R003F011M1,R0R0,0.1048,0.0214,-0.0769,-0.0468,0.0897,-0.1012,0.1228
R003F012M0,R003F012M1,R0R0,0,-0.2898,-0.3162,-0.3088,-0.1271,-0.2406,0
R003F013M0,R003F013M1,R0R0,0.051,0.0029,-0.0769,0.0561,0.2223,-0.0131,0.0572
R003F014M0,R003F014M1,R0R0,0.1028,0.5883,0.4017,0.1385,0.1678,0.4743,0.3491
R003F015M0,R003F015M1,R0R0,0,-0.144,-0.0769,-0.1492,-0.2026,0.0076,0
R003F016M0,R003F016M1,R0R0,0.0991,0.1954,0.1624,0.0128,0.111,0.1831,0.0991
R003F017M0,R003F017M1,R0R0,0,0.0909,0.0428,-0.2807,-0.0965,-0.105,0
R003F018M0,R003F018M1,R0R0,0.0639,-0.0523,0.0428,0.0603,0.1474,0.2226,0.0935
R003F019M0,R003F019M1,R0R0,0.1991,0.2064,0.1624,0.1254,0.275,0.3136,0.305
R003F020M0,R003F020M1,R0R0,0.3324,0.113,0.1624,0.2932,0.0851,0.2836,0.381
R003F021M0,R003F021M1,R0R0,0.2794,0.602,0.641,0.4756,0.1668,0.5629,0.566
R003F022M0,R003F022M1,R0R0,0.5,0.3411,0.2821,0.7475,0.436,0.4468,0.5
